Trade #,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
162,Exit short,2026-02-12 12:50,Short Exit,5059.316,98.71,499204.8985,-200.18,-0.04,193.77,0.04,-200.18,-0.04,182.98,1.83
162,Entry short,2026-02-12 12:45,Short,5057.288,98.71,499204.8985,-200.18,-0.04,193.77,0.04,-200.18,-0.04,182.98,1.83
163,Exit long,2026-02-12 14:00,Long Exit,5065.724,30.22,153286.1752,-200,-0.13,124.9,0.08,-200,-0.13,-17.02,-0.17
163,Entry long,2026-02-12 13:45,Long,5072.342,30.22,153286.1752,-200,-0.13,124.9,0.08,-200,-0.13,-17.02,-0.17
164,Exit long,2026-02-12 14:20,Long Exit,5064.204,40.19,203730.4246,-200.07,-0.10,48.35,0.02,-200.07,-0.10,-217.08,-2.17
164,Entry long,2026-02-12 14:15,Long,5069.182,40.19,203730.4246,-200.07,-0.10,48.35,0.02,-200.07,-0.10,-217.08,-2.17
165,Exit short,2026-02-12 15:40,Short Exit,5058.728,101.72,514773.692,199.88,0.04,199.88,0.04,0,0.00,-17.2,-0.17
165,Entry short,2026-02-12 15:40,Short,5060.693,101.72,514773.692,199.88,0.04,199.88,0.04,0,0.00,-17.2,-0.17
166,Exit short,2026-02-12 15:45,Short Exit,5061.476,58.37,295238.2618,-200.09,-0.07,72.85,0.02,-200.09,-0.07,-217.3,-2.17
166,Entry short,2026-02-12 15:45,Short,5058.048,58.37,295238.2618,-200.09,-0.07,72.85,0.02,-200.09,-0.07,-217.3,-2.17
167,Exit long,2026-02-12 17:50,Long Exit,5076.997,65.76,333663.4123,199.91,0.06,199.91,0.06,0,0.00,-17.39,-0.17
167,Entry long,2026-02-12 17:45,Long,5073.957,65.76,333663.4123,199.91,0.06,199.91,0.06,0,0.00,-17.39,-0.17
168,Exit short,2026-02-12 20:30,Short Exit,5064.016,53.53,270871.9172,-204.86,-0.08,0,0.00,-204.86,-0.08,-222.24,-2.22
168,Entry short,2026-02-12 20:25,Short,5060.189,53.53,270871.9172,-204.86,-0.08,0,0.00,-204.86,-0.08,-222.24,-2.22
169,Exit short,2026-02-12 21:10,Short Exit,5063.761,22.12,111810.3622,-200.03,-0.18,127.92,0.11,-200.03,-0.18,-422.28,-4.22
169,Entry short,2026-02-12 20:45,Short,5054.718,22.12,111810.3622,-200.03,-0.18,127.92,0.11,-200.03,-0.18,-422.28,-4.22
170,Exit long,2026-02-12 21:55,Long Exit,5077.854,63.87,324522.6397,-200.1,-0.06,183.18,0.06,-200.1,-0.06,-622.38,-6.22
170,Entry long,2026-02-12 21:55,Long,5080.987,63.87,324522.6397,-200.1,-0.06,183.18,0.06,-200.1,-0.06,-622.38,-6.22
171,Exit long,2026-02-12 22:10,Long Exit,5067.299,23.45,119028.1432,-199.98,-0.17,48.73,0.04,-199.98,-0.17,-822.36,-8.22
171,Entry long,2026-02-12 22:10,Long,5075.827,23.45,119028.1432,-199.98,-0.17,48.73,0.04,-199.98,-0.17,-822.36,-8.22
172,Exit short,2026-02-17 22:00,Short Exit,4846.143,1.95,9649.1421,199.16,2.06,199.16,2.06,-191.49,-1.98,-623.2,-6.23
172,Entry short,2026-02-13 00:15,Short,4948.278,1.95,9649.1421,199.16,2.06,199.16,2.06,-191.49,-1.98,-623.2,-6.23
173,Exit short,2026-02-18 02:55,Short Exit,4902.936,7.11,34659.95598,-199.92,-0.58,182.36,0.53,-199.92,-0.58,-823.12,-8.23
173,Entry short,2026-02-17 22:40,Short,4874.818,7.11,34659.95598,-199.92,-0.58,182.36,0.53,-199.92,-0.58,-823.12,-8.23
174,Exit long,2026-02-18 04:00,Long Exit,4879.909,25.57,124979.3072,-200.03,-0.16,15.67,0.01,-200.03,-0.16,-1023.15,-10.23
174,Entry long,2026-02-18 03:40,Long,4887.732,25.57,124979.3072,-200.03,-0.16,15.67,0.01,-200.03,-0.16,-1023.15,-10.23
175,Exit short,2026-02-18 09:00,Short Exit,4884.846,12.13,59053.24319,-199.94,-0.34,171.31,0.29,-199.94,-0.34,-1223.09,-12.23
